GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US120110107011,120110107011,"Block Group 1, Census Tract 107.01, Broward County, Florida",44450,12918
1500000US120110107012,120110107012,"Block Group 2, Census Tract 107.01, Broward County, Florida",37182,5439
1500000US120110107021,120110107021,"Block Group 1, Census Tract 107.02, Broward County, Florida",21087,10763
1500000US120110107022,120110107022,"Block Group 2, Census Tract 107.02, Broward County, Florida",35878,10032
1500000US120110107023,120110107023,"Block Group 3, Census Tract 107.02, Broward County, Florida",44018,20886
1500000US120110107024,120110107024,"Block Group 4, Census Tract 107.02, Broward County, Florida",14014,9170
1500000US120110108001,120110108001,"Block Group 1, Census Tract 108, Broward County, Florida",50214,15486
1500000US120110108002,120110108002,"Block Group 2, Census Tract 108, Broward County, Florida",44877,28527
1500000US120110108003,120110108003,"Block Group 3, Census Tract 108, Broward County, Florida",45971,9932
1500000US120110109011,120110109011,"Block Group 1, Census Tract 109.01, Broward County, Florida",111987,27865
1500000US120110109012,120110109012,"Block Group 2, Census Tract 109.01, Broward County, Florida",39063,9559
1500000US120110109021,120110109021,"Block Group 1, Census Tract 109.02, Broward County, Florida",99561,8541
1500000US120110109022,120110109022,"Block Group 2, Census Tract 109.02, Broward County, Florida",39025,5335
1500000US120110110001,120110110001,"Block Group 1, Census Tract 110, Broward County, Florida",70139,21013
1500000US120110201011,120110201011,"Block Group 1, Census Tract 201.01, Broward County, Florida",49370,5977
1500000US120110201012,120110201012,"Block Group 2, Census Tract 201.01, Broward County, Florida",20481,4810
1500000US120110201013,120110201013,"Block Group 3, Census Tract 201.01, Broward County, Florida",57721,9766
1500000US120110201014,120110201014,"Block Group 4, Census Tract 201.01, Broward County, Florida",49600,13774
1500000US120110201031,120110201031,"Block Group 1, Census Tract 201.03, Broward County, Florida",41596,5486
